ID,customer_id,model,order_price
2694,1,9619BR-3,-165.00
2693,1,9619BR-2,-144.00
2692,1,1845KLED-1,0.00
2691,1,2147-3,19.00
2690,1,1882N-2,20.00
2689,1,1882FN-2,20.00
2688,1,1870-3,21.00
2687,1,1856-6,25.00
2686,1,2147-6,26.00
2685,1,1949-3,29.00
2684,1,1916F-3,30.00
2683,1,1809-3,32.00
2681,1,1905-14,34.00
2682,1,1916-14,34.00
2680,1,5333C,35.00
2679,1,1941BK-6,36.00
2678,1,1890N-1,40.00
2677,1,1845-3,40.00
2676,1,1809-2,44.00
2675,1,1740-2,45.00
2674,1,2544-13,48.00
2673,1,1949-6,50.00
2672,1,5438K-3CK,50.00
2671,1,5400K-3CK,50.00
2670,1,1870-2,50.00
2669,1,1740-3,50.00
2668,1,1856-3,50.00
2667,1,1911-3,51.00
2666,1,1714BK-6,52.00
2665,1,1714BK-3,54.00
2664,1,2024-1HB,56.00
2663,1,5469-60,57.00
2662,1,2147T-3,57.00
2661,1,1911-2,58.00
2660,1,1941BK-3,58.00
2659,1,1809-1,59.00
2658,1,3584-04,59.00
2657,1,1882N-3,59.00
2656,1,1882FN-3,59.00
2655,1,586-13,60.00
2654,1,1832-6,62.00
2653,1,1870-1,64.00
2652,1,1917-6,66.00
2651,1,5469S,72.00
2650,1,1911-6,72.00
2649,1,1949-2,74.00
2648,1,1708-3,78.00
2647,1,1916F-2,79.00
2646,1,1708-2,80.00
2645,1,1928-3,84.00
2643,1,1845-6,86.00
2642,1,5473-103B,86.00
2644,1,1949-1,86.00
2641,1,1869K-3CK,86.00
2640,1,3584-30,89.00
2639,1,1882N-1,90.00
2638,1,1882FN-1,90.00
2637,1,5438-3,90.00
2636,1,1844FDC-3,90.00
2635,1,2147-4,98.00
2634,1,1845-2,99.00
2633,1,2147-9,100.00
2632,1,1856-4,100.00
2631,1,1946K-3CK,104.00
2630,1,2217-3,104.00
2629,1,1905-15R,105.00
2628,1,1708-6,106.00
2627,1,1916-15R,110.00
2626,1,1905-15L,110.00
2625,1,1740-1,110.00
2624,1,1714BK-1,110.00
2623,1,5438-6,114.00
2622,1,2147-5,115.00
2621,1,1714BK-2,115.00
2620,1,1928-2,119.00
2619,1,1911-1,120.00
2618,1,5400-3,120.00
2617,1,1946K-3CKC,122.00
2616,1,1856-5,129.00
2615,1,5400K-2,129.00
2614,1,1958A,138.00
2613,1,1916-4,139.00
2612,1,1845-1,140.00
2611,1,1946-6,144.00
2610,1,1937-3,144.00
2609,1,1941BK-2,147.00
2608,1,1905-15M,150.00
2607,1,2145-2,152.00
2606,1,5473-103,153.00
2605,1,8315-1,155.00
2604,1,5400-6,156.00
2603,1,1949-4,158.00
2602,1,1856-1,160.00
2601,1,5438K-1,160.00
2600,1,2145-6,160.00
2599,1,1949-5,161.00
2598,1,1917K-3CK,162.00
2597,1,1844FDC-1,164.00
2596,1,1928-1,165.00
2595,1,5056-78,165.00
2594,1,1941BK-1,166.00
2593,1,8439AH-2,169.00
2592,1,8216SD-2,169.00
2591,1,1893N-3,171.00
2590,1,1928-6,176.00
2589,1,2147-1,180.00
2588,1,1708-1,180.00
2587,1,5400K-1,180.00
2586,1,8439AH-3,189.00
2585,1,8216SD-3,189.00
2584,1,5438K-2,189.00
2583,1,1916F-1,190.00
2581,1,2145-3,200.00
2582,1,1714BK-9,200.00
2580,1,2425-36,209.00
2578,1,1845-4,210.00
2579,1,586-14,210.00
2577,1,5438-1,216.00
2576,1,1911-4,218.00
2575,1,5400-9,219.00
2574,1,1916-15L,220.00
2573,1,1386-9,225.00
2572,1,2217-1,226.00
2571,1,1889N-1,227.00
2570,1,5438-2,232.00
2569,1,1869K-2,232.00
2568,1,1714BK-4,238.00
2567,1,1958-96,239.00
2566,1,2147T-1,240.00
2565,1,5056S,240.00
2564,1,1714BK-5,249.00
2563,1,1958S,260.00
2562,1,1937-2,260.00
2561,1,1844FDC-2,264.00
2560,1,1869-3,264.00
2558,1,1911-5,269.00
2559,1,5055-82,269.00
2557,1,5473S,270.00
2556,1,5422,270.00
2555,1,1889N-3,272.00
2554,1,1856T-3,273.00
2553,1,1386-5,277.00
2552,1,2544-64,279.00
2551,1,1845-5,280.00
2550,1,1832-5,289.00
2549,1,1916-15M,290.00
2548,1,8315-2,295.00
2547,1,5400-2,297.00
2546,1,1844DC-3,319.00
2545,1,1869K-1,320.00
2544,1,1941BK-4,328.00
2543,1,1856-9,330.00
2542,1,5055S,336.00
2541,1,1893N-1,340.00
2540,1,1946-P,346.00
2539,1,2544S,348.00
2538,1,1844DC-6,348.00
2537,1,1941BK-5,350.00
2536,1,586S,360.00
2535,1,1869-6,372.00
2534,1,1928-4,376.00
2533,1,8315-3,385.00
2532,1,1946K-1,386.00
2531,1,1708-4,396.00
2530,1,5400-1,420.00
2529,1,1937-6,420.00
2528,1,5400-4,436.00
2527,1,1937-1,444.00
2526,1,1708-5,458.00
2525,1,1917K-2,465.00
2524,1,2145-1,494.00
2523,1,8216DG-3,557.00
2522,1,1844DC-1,586.00
2521,1,1946-4,596.00
2520,1,1946-5,598.00
2519,1,2145-9,600.00
2518,1,5438-5,629.00
2517,1,5438-4,634.00
2516,1,586-82,636.00
2515,1,8216DG-2,656.00
2514,1,1928-5,667.00
2513,1,1869-2,688.00
2512,1,1937-4,729.00
2511,1,1856T-1,772.00
2510,1,5400-5,777.00
2509,1,1917K-1,780.00
2508,1,2145-5,833.00
2507,1,1917-4,834.00
2506,1,1869-1,879.00
2505,1,2145-4,882.00
2504,1,1917-5,897.00
2503,1,1844DC-4,910.00
2502,1,1844DC-2,948.00
2501,1,1869-4,948.00
2500,1,2469,954.00
2499,1,1869-5,"1,074.00"
2498,1,1372-36,"1,254.00"
2497,1,1844DC-5,"1,305.00"
2496,1,1937-5,"1,405.00"
2495,1,1372-24,"2,288.00"
2494,2,1901-15M,-155.00
2488,2,1402SLK-1EK,0.00
2493,2,B1422-SL,0.00
2492,2,B1422-3,0.00
2491,2,B1422-2,0.00
2490,2,B1422-1,0.00
2489,2,2259GY-4,0.00
2487,2,1890N-2,10.00
2486,2,2145T-2,14.00
2485,2,1890KN-2EK,19.00
2484,2,1890KN-2CK,19.00
2483,2,2145T-3,20.00
2482,2,1884N-2,20.00
2481,2,1890FN-2,20.00
2480,2,1904K-3CK,23.00
2479,2,1855-6,24.00
2478,2,1809-6,24.00
