ID,customer_name
1,BIANCAS FURNITURE
2,BELLAS FURNITURE
4,PALACE FURNITURE
5,CENTURY FURNITURE
6,MORALES FURNITURE
7,AMERICAN STYLE GALLERY
8,HOUSE OF FURNITURE
9,FURNITURE DISCOUNTERS INC.
20,HOME LIFE FURNITURE
21,VERN'S FURNITURE
22,LB FURNITURE
23,AMERICAN FINE FURNISHINGS
24,209 FURNITURE
25,ONE STOP FURNITURE
26,DISCOVERY FURNITURE #27
27,HOME EXPRESS FURNITURE DISC
28,EVANS FURNITURE GALLERIES
29,HOME FOR NOW LLC
30,FURNITURE ELEGANCE DISTRIBUTION
31,RENAISSANCE FURNITURE
32,BELLAS FURNITURE MERCED
